"Outlet / person","Category","Priority","Contact name","Contact email","Public social handle","Submission URL","Verified source URL","Contact method","Pitch version used","Date contacted","Follow-up date","Response","Status","Notes"
"The Roommates Show / Roommates Live","Knicks media / podcast","High","Roommates team","","Instagram/Facebook/YouTube listed on official site","https://www.roommateslive.com/contact","https://www.roommateslive.com/contact","Official contact page or official social route","Roommates Pitch","","","","ready for review","No visible public email found. Do not use X. Ask them to read or react, not publish."
"PlaymakerHQ / Roommates Show","Knicks media / podcast network","High/Medium","","","","https://www.playmakerhq.com/","https://www.playmakerhq.com/","Official site confirms Roommates Show but no verified public pitch route found","Roommates Pitch","","","","no verified route","Use Roommates or Medium Rare first. Do not guess staff emails."
"Medium Rare","Production / event ecosystem","Medium","Medium Rare team","","Instagram/LinkedIn/YouTube listed on official site","https://www.medium-rare.com/contact","https://www.medium-rare.com/contact","Contact form","Roommates Event Pitch","","","","ready for review","Indirect Roommates Live production route. Keep ask soft and event/culture focused."
"Knicks Fan TV","Knicks fan media","High","Knicks Fan TV team","","Facebook/Instagram/YouTube listed on official site","https://shop.knicksfantv.com/pages/contact","https://shop.knicksfantv.com/pages/contact","Contact form","Raw Knicks Pitch","","","","ready for review","Best first-wave fan route. Form has name, email, phone, comment."
"Knicks Fan TV Newsletter","Knicks fan newsletter","High","KFTV Newsletter team","","YouTube/Discord/podcast links on newsletter page","https://knicksfantv.beehiiv.com/","https://knicksfantv.beehiiv.com/","Use Knicks Fan TV contact form and mention newsletter/editorial fit","Raw Knicks Pitch","","","","ready for review","No direct newsletter pitch email found. Route through KFTV form."
"Posting and Toasting","Knicks fan media","High","Posting and Toasting team","","Facebook/RSS listed; do not use X","https://www.postingandtoasting.com/contact","https://www.postingandtoasting.com/contact","Pitch/contact form","Raw Knicks Pitch","","","","ready for review","Use the form option for pitching a story. Do not contact multiple writers separately first."
"Knicks Film School","Knicks media / newsletter","High","Jonathan Macri / KFS team","","Official Substack and Instagram listed","https://knicksfilmschool.substack.com/about","https://knicksfilmschool.substack.com/about","Substack route or official social route after login","KFS Pitch","","","","needs login","No direct public pitch email found. Use Substack/official social carefully."
"The Strickland","Knicks fan media","High","The Strickland team","","Bluesky/Instagram/YouTube listed on site","https://www.thestrick.land/","https://www.thestrick.land/","Homepage contact form","Raw Knicks Pitch","","","","ready for review","Homepage contact section invites contributions and tips. Do not use X."
"Hell Gate","NYC media / culture","High","Hell Gate editors","tips@hellgatenyc.com","","mailto:tips@hellgatenyc.com","https://hellgatenyc.com/pitch-hell-gate/","Gmail draft","Civic Pitch","","","","ready for draft","Put PITCH in subject. Lead with NYC pressure/public joy, not just Knicks."
"NYC Mayor's Office","Civic","Medium/High","Mayor Zohran Mamdani's Office","","","https://www.nyc.gov/mayors-office/contact-the-mayor","https://www.nyc.gov/mayors-office/contact-the-mayor","Contact form","Mayor 500-Character Civic Pitch","","","","ready for review","Use short civic version only. Keep under form limit and avoid long article pasted text."
